date,open,high,low,close,adj_close,volume,ets,number_date,symb,secteur
2020-03-17,51.05,52,45.14,48.4,47.9,1011321,Puma,21,PUM.DE,textile
2020-03-16,44.46,51.25,42.72,49.8,49.29,1299560,Puma,21,PUM.DE,textile
2020-03-13,49.26,52.7,47.04,48.5,48,1186659,Puma,21,PUM.DE,textile
2020-03-12,52.2,52.7,47.8,48.14,47.65,1066277,Puma,21,PUM.DE,textile
2020-03-11,58,58.1,55.15,56,55.43,1432349,Puma,21,PUM.DE,textile
2020-03-10,60.1,62.95,58.25,58.65,58.05,1061248,Puma,21,PUM.DE,textile
2020-03-09,57.8,62.4,57.2,59.5,58.89,876682,Puma,21,PUM.DE,textile
2020-03-06,64.75,65.25,62.25,64.25,63.59,1088529,Puma,21,PUM.DE,textile
2020-03-05,70.75,71.25,67.05,67.05,66.36,730163,Puma,21,PUM.DE,textile
2020-03-04,70.5,71.7,69.15,70.55,69.83,450623,Puma,21,PUM.DE,textile
2020-03-03,69.45,71.85,68.4,70.4,69.68,1191269,Puma,21,PUM.DE,textile
2020-03-02,70.3,71.35,67.15,68.05,67.35,692287,Puma,21,PUM.DE,textile
2020-02-28,68.05,70.35,67.9,69.2,68.49,888148,Puma,21,PUM.DE,textile
2020-02-27,73,73.1,69.85,70.9,70.17,925148,Puma,21,PUM.DE,textile
2020-02-26,73.85,75.4,70.85,74.45,73.69,715121,Puma,21,PUM.DE,textile
2020-02-25,75,75.9,73.35,74.55,73.79,654523,Puma,21,PUM.DE,textile
2020-02-24,76.2,77.4,74.25,75,74.23,652448,Puma,21,PUM.DE,textile
2020-02-21,79.95,81.1,79.45,79.75,78.93,554344,Puma,21,PUM.DE,textile
2020-02-20,81.2,84.3,80.45,80.45,79.63,866611,Puma,21,PUM.DE,textile
2020-02-19,71.6,81,69.75,80.1,79.28,1197284,Puma,21,PUM.DE,textile
2020-02-18,71.8,72.4,71.6,71.95,71.21,295910,Puma,21,PUM.DE,textile
2020-03-17,5274,5063,4922,5019,5019,3203,Salomon,19,ANGL.TA,textile
2020-03-16,5620,6066,5035,5274,5274,5164,Salomon,19,ANGL.TA,textile
2020-03-15,5446,5575,5447,5564,5564,944,Salomon,19,ANGL.TA,textile
2020-03-12,5367,5447,5446,5446,5446,184,Salomon,19,ANGL.TA,textile
2020-03-11,4991,5446,5128,5367,5367,355,Salomon,19,ANGL.TA,textile
2020-03-09,5134,5021,4890,4991,4991,147,Salomon,19,ANGL.TA,textile
2020-03-08,5013,5250,4913,5134,5134,437,Salomon,19,ANGL.TA,textile
2020-03-05,5275,5149,4998,5013,5013,539,Salomon,19,ANGL.TA,textile
2020-03-04,5162,5276,5275,5275,5275,124,Salomon,19,ANGL.TA,textile
2020-03-03,5162,5162,5162,5162,5162,,Salomon,19,ANGL.TA,textile
2020-03-01,5248,5143,5143,5162,5162,31,Salomon,19,ANGL.TA,textile
2020-02-27,5138,5248,5248,5248,5248,63,Salomon,19,ANGL.TA,textile
2020-02-26,5027,5150,5070,5138,5138,183,Salomon,19,ANGL.TA,textile
2020-02-25,5027,5027,5027,5027,5027,56,Salomon,19,ANGL.TA,textile
2020-02-24,5002,5052,4950,5027,5027,198,Salomon,19,ANGL.TA,textile
2020-02-23,5002,5002,5002,5002,5002,24,Salomon,19,ANGL.TA,textile
2020-02-20,5102,5003,5000,5002,5002,59,Salomon,19,ANGL.TA,textile
2020-02-19,5231,5176,5098,5102,5102,105,Salomon,19,ANGL.TA,textile
2020-02-18,5365,5285,5150,5231,5231,193,Salomon,19,ANGL.TA,textile
2020-03-17,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-16,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-13,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-12,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-11,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-10,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-09,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-06,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-05,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-04,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-03,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-02,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-28,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-27,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-26,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-25,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-24,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-21,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-20,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-19,11,11,11,11,11,,Champion,21,CHMP,textile
2020-02-18,11,11,11,11,11,,Champion,21,CHMP,textile
2020-03-17,14.23,14.83,13.75,13.88,13.59,2341200,Levis,21,LEVI,textile
2020-03-16,12.56,14.84,12.55,14.15,13.86,2569300,Levis,21,LEVI,textile
2020-03-13,13.81,14.46,13.43,14.42,14.12,1150900,Levis,21,LEVI,textile
2020-03-12,14.73,14.73,12.95,13.17,12.9,1775000,Levis,21,LEVI,textile
2020-03-11,16.34,16.44,15.44,15.51,15.19,1231100,Levis,21,LEVI,textile
2020-03-10,16.89,17.15,16.21,16.66,16.32,914000,Levis,21,LEVI,textile
2020-03-09,16.33,16.85,16.15,16.46,16.12,1656600,Levis,21,LEVI,textile
2020-03-06,17.48,17.67,17.06,17.22,16.86,998100,Levis,21,LEVI,textile
2020-03-05,18.38,18.4,17.7,17.89,17.52,1043600,Levis,21,LEVI,textile
2020-03-04,18.56,18.75,18.2,18.74,18.35,693200,Levis,21,LEVI,textile
2020-03-03,17.89,18.54,17.89,18.46,18.08,987500,Levis,21,LEVI,textile
2020-03-02,17.03,17.93,16.88,17.87,17.5,1592500,Levis,21,LEVI,textile
2020-02-28,17.11,17.29,16.67,16.99,16.64,1511800,Levis,21,LEVI,textile
2020-02-27,17.32,18.08,17.02,17.53,17.17,985000,Levis,21,LEVI,textile
2020-02-26,18.8,18.96,17.76,17.78,17.41,1212400,Levis,21,LEVI,textile
2020-02-25,19.34,19.4,18.45,18.79,18.4,1264000,Levis,21,LEVI,textile
2020-02-24,19.33,19.6,19.08,19.12,18.73,1434800,Levis,21,LEVI,textile
2020-02-21,20,20,19.64,19.72,19.31,750700,Levis,21,LEVI,textile
2020-02-20,19.33,20,19.33,20,19.59,877300,Levis,21,LEVI,textile
2020-02-19,19.9,20.09,19.26,19.38,18.98,1259000,Levis,21,LEVI,textile
