date,open,high,low,close,adj_close,volume,ets,number_date,symb
2020-08-14,156.91,157.56,156.62,157.25,155.59,66000.0,Addidas,20,ADDYY
2020-08-13,158.0,159.12,157.16,158.27,156.6,61800.0,Addidas,20,ADDYY
2020-08-12,154.58,156.29,154.37,156.06,154.41,23100.0,Addidas,20,ADDYY
2020-08-11,155.5,156.16,153.0,153.0,151.39,30200.0,Addidas,20,ADDYY
2020-08-10,150.61,151.24,149.08,151.0,149.41,33700.0,Addidas,20,ADDYY
2020-08-07,145.24,147.49,145.18,146.85,145.3,21500.0,Addidas,20,ADDYY
2020-08-06,145.01,146.41,144.54,146.41,144.87,30500.0,Addidas,20,ADDYY
2020-08-05,141.71,143.45,141.42,142.3,140.8,21200.0,Addidas,20,ADDYY
2020-08-04,138.04,140.39,137.45,140.08,138.6,19000.0,Addidas,20,ADDYY
2020-08-03,139.54,140.61,139.16,140.26,138.78,26300.0,Addidas,20,ADDYY
2020-07-31,140.4,140.73,136.51,137.38,135.93,56900.0,Addidas,20,ADDYY
2020-07-30,139.36,139.94,136.78,139.75,138.28,13700.0,Addidas,20,ADDYY
2020-07-29,142.93,143.53,142.58,143.43,141.92,15200.0,Addidas,20,ADDYY
2020-07-28,139.48,140.62,139.41,139.6,138.13,19500.0,Addidas,20,ADDYY
2020-07-27,140.69,141.88,140.26,140.97,139.48,17100.0,Addidas,20,ADDYY
2020-07-24,138.81,139.94,138.34,139.25,137.78,32400.0,Addidas,20,ADDYY
2020-07-23,141.57,141.99,139.88,139.88,138.4,27600.0,Addidas,20,ADDYY
2020-07-22,141.66,142.81,141.48,142.73,141.22,119900.0,Addidas,20,ADDYY
2020-07-21,141.6,142.5,140.87,142.0,140.5,38400.0,Addidas,20,ADDYY
2020-07-20,137.2,138.93,136.99,138.77,137.31,29100.0,Addidas,20,ADDYY
2020-08-14,53.02,56.0,52.95,55.36,55.32,945700.0,Calvin klein,20,PVH
2020-08-13,53.43,53.84,52.48,53.61,53.57,964900.0,Calvin klein,20,PVH
2020-08-12,55.09,55.09,52.09,53.54,53.5,989300.0,Calvin klein,20,PVH
2020-08-11,56.05,56.85,54.08,54.2,54.16,1654800.0,Calvin klein,20,PVH
2020-08-10,52.45,54.19,51.99,54.03,53.99,1930900.0,Calvin klein,20,PVH
2020-08-07,50.61,51.83,49.28,51.81,51.77,812000.0,Calvin klein,20,PVH
2020-08-06,51.79,51.81,50.2,50.65,50.61,997400.0,Calvin klein,20,PVH
2020-08-05,48.63,51.63,48.63,51.18,51.14,1273300.0,Calvin klein,20,PVH
2020-08-04,48.66,49.75,47.21,47.72,47.68,1292100.0,Calvin klein,20,PVH
2020-08-03,48.87,49.69,47.67,49.23,49.19,1045600.0,Calvin klein,20,PVH
2020-07-31,50.17,50.61,47.91,48.66,48.62,849800.0,Calvin klein,20,PVH
2020-07-30,50.89,51.03,49.45,50.18,50.14,1075400.0,Calvin klein,20,PVH
2020-07-29,51.38,52.58,51.11,52.16,52.12,938100.0,Calvin klein,20,PVH
2020-07-28,49.84,51.7,49.84,50.71,50.67,1195000.0,Calvin klein,20,PVH
2020-07-27,49.67,50.2,48.66,50.12,50.08,922200.0,Calvin klein,20,PVH
2020-07-24,50.75,51.21,49.81,50.08,50.04,787100.0,Calvin klein,20,PVH
2020-07-23,49.0,51.88,48.5,50.9,50.86,1297800.0,Calvin klein,20,PVH
2020-07-22,48.09,49.98,47.84,49.44,49.4,1146000.0,Calvin klein,20,PVH
2020-07-21,48.03,49.7,48.02,49.02,48.98,1111500.0,Calvin klein,20,PVH
2020-07-20,49.02,49.21,47.27,47.34,47.3,1284100.0,Calvin klein,20,PVH
