date,open,high,low,close,adj_close,volume,ets,number_date,symb,secteur
2020-03-17,1.323,1.323,1.2,1.224,1.224,31100,Jaguar,21,jagx,automobile
2020-03-16,1.2,1.26,1.14,1.215,1.215,53900,Jaguar,21,jagx,automobile
2020-03-13,1.275,1.338,1.134,1.2,1.2,62233,Jaguar,21,jagx,automobile
2020-03-12,1.2,1.26,1.098,1.14,1.14,85567,Jaguar,21,jagx,automobile
2020-03-11,1.515,1.53,1.269,1.35,1.35,82433,Jaguar,21,jagx,automobile
2020-03-10,1.5,1.662,1.38,1.47,1.47,93333,Jaguar,21,jagx,automobile
2020-03-09,1.5,1.65,1.5,1.56,1.56,116367,Jaguar,21,jagx,automobile
2020-03-06,1.89,1.899,1.71,1.758,1.758,93900,Jaguar,21,jagx,automobile
2020-03-05,2.175,2.337,1.89,1.95,1.95,599433,Jaguar,21,jagx,automobile
2020-03-04,1.8,1.89,1.8,1.875,1.875,40100,Jaguar,21,jagx,automobile
2020-03-03,1.89,1.914,1.77,1.902,1.902,74400,Jaguar,21,jagx,automobile
2020-03-02,1.797,1.86,1.68,1.8,1.8,93367,Jaguar,21,jagx,automobile
2020-02-28,1.698,1.8,1.62,1.71,1.71,105667,Jaguar,21,jagx,automobile
2020-02-27,1.86,1.875,1.74,1.785,1.785,91900,Jaguar,21,jagx,automobile
2020-02-26,1.944,2.046,1.89,1.893,1.893,73833,Jaguar,21,jagx,automobile
2020-02-25,2.1,2.1,1.95,1.965,1.965,71033,Jaguar,21,jagx,automobile
2020-02-24,2.214,2.214,2.013,2.025,2.025,35000,Jaguar,21,jagx,automobile
2020-02-21,2.13,2.211,2.1,2.13,2.13,54600,Jaguar,21,jagx,automobile
2020-02-20,2.064,2.13,2.04,2.109,2.109,61767,Jaguar,21,jagx,automobile
2020-02-19,2.073,2.073,1.995,2.049,2.049,48267,Jaguar,21,jagx,automobile
2020-02-18,2.13,2.13,2.037,2.043,2.043,46667,Jaguar,21,jagx,automobile
2020-03-17,5.23,5.37,4.92,5.31,5.31,3173600,Land rover,21,TTM,automobile
2020-03-16,5.4,5.61,5.05,5.08,5.08,2796200,Land rover,21,TTM,automobile
2020-03-13,6.01,6.09,5.5,6.09,6.09,3893600,Land rover,21,TTM,automobile
2020-03-12,5.6,5.64,5,5.29,5.29,3776000,Land rover,21,TTM,automobile
2020-03-11,6.79,6.83,6.4,6.45,6.45,3619700,Land rover,21,TTM,automobile
2020-03-10,7.1,7.3,6.82,7.2,7.2,2617300,Land rover,21,TTM,automobile
2020-03-09,7,7.09,6.63,6.71,6.71,2524900,Land rover,21,TTM,automobile
2020-03-06,7.71,8.28,7.59,7.77,7.77,3491700,Land rover,21,TTM,automobile
2020-03-05,8.48,8.5,8.02,8.02,8.02,2783300,Land rover,21,TTM,automobile
2020-03-04,8.69,8.72,8.34,8.57,8.57,1937300,Land rover,21,TTM,automobile
2020-03-03,9,9.09,8.53,8.69,8.69,3457900,Land rover,21,TTM,automobile
2020-03-02,9.08,9.08,8.61,8.96,8.96,2664300,Land rover,21,TTM,automobile
2020-02-28,8.83,9.19,8.71,9.16,9.16,2880100,Land rover,21,TTM,automobile
2020-02-27,9.87,9.99,9.61,9.72,9.72,3254600,Land rover,21,TTM,automobile
2020-02-26,10.2,10.25,10.05,10.06,10.06,2023700,Land rover,21,TTM,automobile
2020-02-25,10.43,10.49,10.02,10.06,10.06,2832400,Land rover,21,TTM,automobile
2020-02-24,10.38,10.38,10.23,10.33,10.33,1811400,Land rover,21,TTM,automobile
2020-02-21,11,11.08,10.86,10.88,10.88,1468700,Land rover,21,TTM,automobile
2020-02-20,11.1,11.16,11,11.05,11.05,967000,Land rover,21,TTM,automobile
2020-02-19,11.03,11.23,11.01,11.12,11.12,981300,Land rover,21,TTM,automobile
2020-02-18,11.35,11.39,11.07,11.21,11.21,2538200,Land rover,21,TTM,automobile
